Company,Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin
Ambrosia,Belize,1494,2015,64.0,Canada,3.0,,Belize
Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,,Madagascar
Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,None,Dominican Republic
Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,None,Papua New Guinea
Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,None,Venezuela
Ambrosia,Peru,1498,2015,68.0,Canada,3.5,None,Peru
Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,None,Peru
Amedei,Porcelana,111,2007,70.0,Italy,4.0,,Venezuela
Amedei,Nine,111,2007,75.0,Italy,4.0,,Unknown
Amedei,Chuao,111,2007,70.0,Italy,5.0,,Venezuela
Amedei,Ecuador,123,2007,70.0,Italy,3.0,,Ecuador
Amedei,Jamaica,123,2007,70.0,Italy,3.0,,Jamaica
Amedei,Grenada,123,2007,70.0,Italy,3.5,,Grenada
Amedei,Venezuela,123,2007,70.0,Italy,3.75,,Venezuela
Amedei,Madagascar,123,2007,70.0,Italy,4.0,,Madagascar
Amedei,Trinidad,129,2007,70.0,Italy,3.5,,Trinidad Tobago
Amedei,Toscano Black,170,2007,63.0,Italy,3.5,,Unknown
Amedei,Toscano Black,40,2006,70.0,Italy,5.0,,Unknown
Amedei,Toscano Black,75,2006,66.0,Italy,4.0,,Unknown
AMMA,Catongo,1065,2013,75.0,Brazil,3.25,,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,,Brazil
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,,Brazil
Anahata,Elvesia,1259,2014,75.0,United States of America,3.0,None,Dominican Republic
Animas,Alto Beni,1852,2016,75.0,United States of America,3.5,None,Bolivia
Ara,Madagascar,1375,2014,75.0,France,3.0,,Madagascar
Ara,Chiapas,1379,2014,72.0,France,2.5,None,Mexico
Ara,Equateur,1379,2014,75.0,France,2.75,None,Ecuador
Ara,Trincheras,1379,2014,75.0,France,3.0,None,Venezuela
Arete,San Juan,1724,2016,70.0,United States of America,3.5,,Trinidad Tobago
Arete,Kokoa Kamili,1724,2016,70.0,United States of America,3.75,None,Tanzania
Arete,Tien Giang,1900,2016,73.0,United States of America,3.5,,Vietnam
Arete,Hacienda Victoria,1904,2016,70.0,United States of America,3.25,None,Ecuador
Arete,Costa Esmeraldas,1904,2016,70.0,United States of America,3.25,None,Ecuador
Arete,Lachua,1904,2016,70.0,United States of America,3.5,None,Guatemala
Arete,Rugoso,1904,2016,70.0,United States of America,3.75,None,Nicaragua
Arete,"La Masica, FHIA",1908,2016,70.0,United States of America,3.5,None,Honduras
Arete,"Coto Brus, Terciopelo",1908,2016,70.0,United States of America,4.0,None,Costa Rica
Arete,Phantom,1924,2016,70.0,United States of America,4.0,,Peru
Arete,Elvesia,1928,2016,70.0,United States of America,3.75,None,Dominican Republic
Arete,Matasawalevu,1928,2016,70.0,United States of America,3.25,None,Fiji
Arete,Lam Dong,1928,2016,73.0,United States of America,3.25,None,Vietnam
Arete,Fazenda Camboa,1534,2015,70.0,United States of America,3.5,None,Brazil
Arete,Nacional,1534,2015,68.0,United States of America,3.5,,Peru
Arete,"Puerto Quito, heirloom",1534,2015,70.0,United States of America,3.75,,Ecuador
Arete,Oko Caribe,1598,2015,70.0,United States of America,3.5,None,Dominican Republic
Arete,Maya Mountain,1598,2015,70.0,United States of America,3.75,,Belize
Arete,Chuno,1598,2015,70.0,United States of America,4.0,,Nicaragua
Arete,Fazenda Camboa,1602,2015,75.0,United States of America,2.75,None,Brazil
Arete,Guatemala,1602,2015,70.0,United States of America,3.25,None,Guatemala
Arete,Camino Verde,1602,2015,75.0,United States of America,3.5,None,Ecuador
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72.0,England,3.25,,Trinidad Tobago
Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72.0,England,3.75,None,Colombia
Artisan du Chocolat,Haiti,729,2011,72.0,England,4.0,None,Haiti
Artisan du Chocolat,Panama,745,2011,72.0,England,2.75,None,Panama
Artisan du Chocolat,Venezuela,486,2010,100.0,England,1.75,None,Venezuela
Artisan du Chocolat,Jamaica,531,2010,72.0,England,3.75,,Jamaica
Artisan du Chocolat,Costa Rica,600,2010,72.0,England,3.25,None,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,600,2010,72.0,England,3.25,,Vietnam
Artisan du Chocolat,Bali,600,2010,72.0,England,3.5,None,Indonesia
Artisan du Chocolat,"Ocumare, Venezuela",355,2009,75.0,England,2.5,,Venezuela
Artisan du Chocolat,Java,355,2009,72.0,England,2.75,,Indonesia
Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,England,1.75,None,Brazil
Artisan du Chocolat,Madagascar,363,2009,80.0,England,3.0,,Madagascar
Artisan du Chocolat,Peru,363,2009,75.0,England,3.0,,Peru
Artisan du Chocolat,Dominican Republic,363,2009,72.0,England,3.25,,Dominican Republic
Artisan du Chocolat,Congo,300,2008,72.0,England,3.75,,Republic of Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",1181,2013,72.0,England,2.75,,Colombia
Askinosie,Mababa,1780,2016,68.0,United States of America,3.75,,Tanzania
Askinosie,"Tenende, Uwate",647,2011,72.0,United States of America,3.75,,Tanzania
Askinosie,Cortes,661,2011,70.0,United States of America,3.75,,Honduras
Askinosie,Davao,331,2009,77.0,United States of America,3.75,,Philippines
Askinosie,Xoconusco,141,2007,75.0,United States of America,2.5,,Mexico
Askinosie,San Jose del Tambo,175,2007,70.0,United States of America,3.0,,Ecuador
Bahen & Co.,Houseblend,1474,2015,80.0,Australia,3.25,None,Unknown
Bahen & Co.,Papua New Guinea,1474,2015,70.0,Australia,3.5,None,Papua New Guinea
Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,,Madagascar
Bahen & Co.,Bahia,999,2012,70.0,Australia,2.5,None,Brazil
Bahen & Co.,Houseblend,999,2012,70.0,Australia,2.5,,Unknown
Bakau,"Bambamarca, 2015",1454,2015,70.0,Peru,2.75,None,Peru
Bakau,"Huallabamba, 2015",1454,2015,70.0,Peru,3.5,None,Peru
Bar Au Chocolat,Bahia,1554,2015,70.0,United States of America,3.5,None,Brazil
Bar Au Chocolat,Maranon Canyon,1295,2014,70.0,United States of America,4.0,,Peru
Bar Au Chocolat,Duarte Province,983,2012,70.0,United States of America,3.25,None,Dominican Republic
Bar Au Chocolat,Chiapas,983,2012,70.0,United States of America,3.5,None,Mexico
Bar Au Chocolat,Sambirano,983,2012,70.0,United States of America,3.75,,Madagascar
Baravelli's,single estate,955,2012,80.0,Wales,2.75,None,Costa Rica
Batch,"Dominican Republic, Batch 3",1840,2016,65.0,United States of America,3.5,None,Dominican Republic
Batch,Brazil,1868,2016,70.0,United States of America,3.75,None,Brazil
Batch,Ecuador,1880,2016,65.0,United States of America,3.25,None,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73.0,England,3.0,None,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72.0,England,3.25,None,Malaysia
Beehive,"Brazil, Batch 20316",1784,2016,80.0,United States of America,2.75,None,Brazil
Beehive,"Dominican Republic, Batch 31616",1784,2016,70.0,United States of America,2.75,None,Dominican Republic
Beehive,"Ecuador, Batch 31516",1784,2016,70.0,United States of America,2.75,None,Ecuador
Beehive,Ecuador,1788,2016,90.0,United States of America,2.75,None,Ecuador
Belcolade,Costa Rica,586,2010,64.0,Belgium,2.75,None,Costa Rica
Belcolade,Papua New Guinea,586,2010,64.0,Belgium,2.75,None,Papua New Guinea
Belcolade,Peru,586,2010,64.0,Belgium,2.75,None,Peru
Belcolade,Ecuador,586,2010,71.0,Belgium,3.5,None,Ecuador
Bellflower,"Kakao Kamili, Kilombero Valley",1800,2016,70.0,United States of America,3.5,,Tanzania
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70.0,United States of America,3.25,None,Bolivia
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70.0,United States of America,3.5,None,Dominican Republic
Belyzium,"Belize south, low fermentation",1768,2016,83.0,Germany,2.75,,Belize
Belyzium,Belize south,1768,2016,78.0,Germany,3.0,,Belize
Belyzium,Belize south,1768,2016,83.0,Germany,3.5,,Belize
Benoit Nihant,Baracoa,1141,2013,74.0,Belgium,3.5,,Cuba
Benoit Nihant,Chuao,1141,2013,74.0,Belgium,3.5,,Venezuela
Benoit Nihant,Cuyagua Village,1141,2013,74.0,Belgium,3.5,,Venezuela
Benoit Nihant,Rio Peripa H.,1141,2013,73.0,Belgium,4.0,,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72.0,Belgium,4.0,,Indonesia
Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",773,2011,72.0,Belgium,3.75,,Madagascar
Bernachon,Nature,797,2012,55.0,France,2.75,None,Unknown
Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,,Madagascar
Beschle (Felchlin),Maracaibo,636,2011,88.0,Switzerland,3.0,,Venezuela
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72.0,Switzerland,3.5,None,Venezuela
Beschle (Felchlin),Ecuador,636,2011,72.0,Switzerland,4.0,None,Ecuador
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70.0,Switzerland,3.25,,Venezuela
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74.0,Switzerland,3.25,,Venezuela
Beschle (Felchlin),"Java, Grand Cru",508,2010,64.0,Switzerland,3.5,None,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72.0,Switzerland,3.5,None,Venezuela
Bisou,"Nicaragua, American style",1482,2015,76.0,United States of America,2.5,None,Nicaragua
Bisou,"San Andres, American style",1486,2015,76.0,United States of America,2.5,None,Costa Rica
Bisou,"San Andres, silk",1486,2015,78.0,United States of America,2.5,None,Costa Rica
Bisou,Belize,1486,2015,86.0,United States of America,3.25,,Belize
Bittersweet Origins,Ghana,963,2012,72.0,United States of America,3.5,,Ghana
Bittersweet Origins,"Bali, Singaraja",478,2010,75.0,United States of America,3.25,None,Indonesia
Bittersweet Origins,2009 Hapa Nibby,502,2010,70.0,United States of America,3.75,,Dominican Republic
Bittersweet Origins,"Bali, Singaraja",558,2010,65.0,United States of America,2.75,None,Indonesia
Bittersweet Origins,"Sambirano, 2009",565,2010,70.0,United States of America,3.0,,Madagascar
Bittersweet Origins,"Ocumare, prototype",565,2010,78.0,United States of America,3.0,,Venezuela
Bittersweet Origins,Puerto Plata,414,2009,75.0,United States of America,3.0,None,Dominican Republic
Bittersweet Origins,Puerto Plata,414,2009,65.0,United States of America,3.5,None,Dominican Republic
Bittersweet Origins,Sambirano,423,2009,75.0,United States of America,3.25,,Madagascar
Bittersweet Origins,Sambirano,431,2009,65.0,United States of America,3.5,,Madagascar
Bittersweet Origins,Sambirano,233,2008,71.0,United States of America,3.0,,Madagascar
Bittersweet Origins,Bocas del Toro,233,2008,75.0,United States of America,3.5,None,Panama
Bittersweet Origins,Puerto Plata,233,2008,68.0,United States of America,3.75,None,Dominican Republic
Bittersweet Origins,Ankasa,256,2008,70.0,United States of America,3.0,,Ghana
Black Mountain,La Red,256,2008,70.0,United States of America,2.75,None,Dominican Republic
Black Mountain,Carenero Superior,256,2008,70.0,United States of America,2.75,,Venezuela
Black Mountain,Matiguas,256,2008,70.0,United States of America,3.0,None,Nicaragua
Black River (A. Morin),Blue Mountain Region,1331,2014,70.0,England,2.75,,Jamaica
Blanxart,"Congo, Grand Cru",1046,2013,82.0,Spain,3.5,,Republic of Congo
Blanxart,Organic Dark,322,2009,72.0,Spain,2.75,None,Unknown
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82.0,United States of America,3.5,,Madagascar
Blue Bandana,Lachua,1752,2016,75.0,United States of America,2.75,None,Guatemala
Blue Bandana,Kokoa Kamili,1752,2016,75.0,United States of America,3.5,None,Tanzania
Blue Bandana,Zorzal Reserva,1756,2016,75.0,United States of America,3.0,None,Dominican Republic
Blue Bandana,Guatemala,911,2012,70.0,United States of America,3.5,None,Guatemala
Blue Bandana,Madagascar,911,2012,70.0,United States of America,3.75,,Madagascar
Bonnat,Selva Maya,1912,2016,75.0,France,3.5,None,Mexico
Bonnat,Kaori,1339,2014,75.0,France,4.0,None,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75.0,France,3.25,None,Dominican Republic
Bonnat,Surfin,1418,2014,65.0,France,3.75,None,Venezuela
Bonnat,Maragnam,1038,2013,75.0,France,3.5,None,Brazil
Bonnat,Gabon,1042,2013,75.0,France,3.25,None,Gabon
Bonnat,Cuba,629,2011,75.0,France,3.5,,Cuba
Bonnat,"Cusco, Cacao Cusco",629,2011,75.0,France,3.5,None,Peru
Bonnat,Piura Blanco,629,2011,75.0,France,3.5,,Peru
Bonnat,Libanio,629,2011,75.0,France,3.75,None,Brazil
Bonnat,Haiti,629,2011,75.0,France,4.0,None,Haiti
Bonnat,"Madagascar, 100% criollo",629,2011,75.0,France,4.0,,Madagascar
Bonnat,Juliana,672,2011,75.0,France,3.5,None,Brazil
Bonnat,Jamaique,761,2011,75.0,France,3.25,,Jamaica
Bonnat,Ivory Coast,331,2009,75.0,France,3.0,None,Cote d'Ivorie
Bonnat,"Porcelana, Apotequil",336,2009,75.0,France,2.75,,Peru
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75.0,France,3.0,,Mexico
Bonnat,"Xoconusco, cacao Real",395,2009,75.0,France,3.0,,Mexico
Bonnat,"Porcelana, Venezuela",199,2008,75.0,France,4.0,,Venezuela
Bonnat,Equateur,123,2007,75.0,France,2.5,,Ecuador
Bonnat,Trinite,24,2006,75.0,France,3.75,,Other
Bonnat,"Ocumare, Puerto Cabello",32,2006,75.0,France,4.0,None,Venezuela
Bonnat,"Maracaibo, El Rosario",48,2006,75.0,France,4.0,,Venezuela
Bonnat,Madagascar,75,2006,75.0,France,4.0,,Madagascar
Bonnat,One Hundred,81,2006,100.0,France,1.5,None,Unknown
Bonnat,Ceylan,81,2006,75.0,France,3.0,None,Sri Lanka
Bonnat,Chuao,81,2006,75.0,France,4.0,,Venezuela
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",316,2009,77.0,Ecuador,3.25,,Ecuador
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",341,2009,100.0,Ecuador,1.5,,Ecuador
Bowler Man,Maya Mountain,1267,2014,70.0,United States of America,2.75,,Belize
Bowler Man,Conacado,1271,2014,70.0,United States of America,2.75,None,Dominican Republic
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70.0,United States of America,3.5,,Venezuela
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70.0,United States of America,3.75,None,Nicaragua
Brasstown aka It's Chocolate,Conacado,1462,2015,68.0,United States of America,3.75,None,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70.0,United States of America,3.75,,Belize
Brasstown aka It's Chocolate,Chuao,1355,2014,70.0,United States of America,4.0,,Venezuela
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72.0,United States of America,3.0,,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70.0,United States of America,3.25,None,Ecuador
Brasstown aka It's Chocolate,Ghana,1129,2013,75.0,United States of America,3.5,,Ghana
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85.0,United States of America,3.5,,Venezuela
Brazen,Elvesia P.,1514,2015,60.0,United States of America,3.0,None,Dominican Republic
Brazen,Elvesia P.,1514,2015,80.0,United States of America,3.25,None,Dominican Republic
Brazen,"Alta Verapaz, 2014",1514,2015,70.0,United States of America,3.5,None,Guatemala
Brazen,Ambolikapiky P.,1518,2015,80.0,United States of America,2.75,None,Madagascar
Brazen,Maya Mountain,1518,2015,80.0,United States of America,3.25,,Belize
Brazen,Ambolikapkly P.,1518,2015,60.0,United States of America,3.25,None,Madagascar
Breeze Mill,Jamaica,1149,2013,70.0,United States of America,3.0,,Jamaica
Bright,Somia Plantation,1231,2014,72.0,Australia,3.0,,Madagascar
Bright,Marabel Farms,1231,2014,70.0,Australia,3.5,None,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",1231,2014,72.0,Australia,3.5,None,Ecuador
Bright,Gran Couva,1235,2014,68.0,Australia,2.75,,Trinidad Tobago
Britarev,Ecuador,1638,2015,70.0,Russia,3.25,None,Ecuador
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68.0,United States of America,2.75,None,Dominican Republic
Burnt Fork Bend,Trinidad,1299,2014,72.0,United States of America,3.25,,Trinidad Tobago
Burnt Fork Bend,Mindo,1299,2014,72.0,United States of America,3.5,None,Ecuador
Burnt Fork Bend,Belize,1303,2014,72.0,United States of America,3.25,,Belize
Burnt Fork Bend,Blend,1303,2014,72.0,United States of America,3.25,,Unknown
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60.0,United States of America,2.5,None,Ecuador
Cacao Arabuco,Puerto Rico,1606,2015,70.0,Puerto Rico,2.5,None,Puerto Rico
Cacao Atlanta,Tumbes,1215,2014,75.0,United States of America,2.5,,Peru
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75.0,United States of America,2.5,None,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75.0,United States of America,2.75,None,Dominican Republic
Cacao Atlanta,Patanemo,600,2010,75.0,United States of America,2.25,None,Venezuela
Cacao Barry,Grand 'Anse,1716,2016,65.0,France,3.5,,Haiti
Cacao Barry,Santo Domingo,586,2010,70.0,France,3.0,None,Dominican Republic
Cacao Barry,Tanzania,300,2008,75.0,France,2.0,None,Tanzania
Cacao Barry,Venezuela,141,2007,72.0,France,2.0,None,Venezuela
Cacao Barry,Mexico,147,2007,66.0,France,3.0,None,Mexico
Cacao de Origen,Chuao,1688,2015,77.0,Venezuela,3.5,,Venezuela
Cacao de Origen,Rio Caribe,1692,2015,75.0,Venezuela,3.25,,Venezuela
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75.0,Venezuela,2.5,None,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74.0,Venezuela,3.25,None,Venezuela
Cacao de Origen,"Chuao, Aragua region",1391,2014,75.0,Venezuela,3.5,,Venezuela
Cacao de Origen,"Chuao, Aragua region",1395,2014,70.0,Venezuela,3.75,,Venezuela
Cacao de Origin,Hacienda la Trinidad,1668,2015,74.0,Venezuela,3.25,None,Venezuela
Cacao Hunters,Macondo,1816,2016,71.0,Colombia,3.75,None,Colombia
Cacao Hunters,Perla Negra,1816,2016,74.0,Colombia,3.75,None,Colombia
Cacao Hunters,Arhuacos,1662,2015,72.0,Colombia,3.75,None,Colombia
Cacao Hunters,Sierra Nevada,1430,2014,64.0,Colombia,3.5,None,Colombia
Cacao Hunters,Tumaco,1430,2014,70.0,Colombia,3.5,None,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69.0,Colombia,2.75,None,Colombia
Cacao Hunters,Arauca,1434,2014,70.0,Colombia,3.25,None,Colombia
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70.0,United States of America,3.5,,Honduras
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72.0,United States of America,3.75,,Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72.0,United States of America,3.0,None,Dominican Republic
Cacao Prieto,Dominican Republic,641,2011,66.0,United States of America,3.75,None,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",647,2011,65.0,United States of America,3.25,None,Dominican Republic
Cacao Sampaka,"Mahali, Kasai",1908,2016,70.0,Spain,3.5,,Republic of Congo
Cacao Sampaka,Madagascar,508,2010,71.0,Spain,3.5,,Madagascar
Cacao Sampaka,Ecuador,523,2010,71.0,Spain,3.75,None,Ecuador
Cacao Sampaka,Papua,523,2010,71.0,Spain,4.0,None,Papua New Guinea
Cacao Sampaka,Grenada,537,2010,71.0,Spain,3.25,,Grenada
Cacao Sampaka,Venezuela,537,2010,71.0,Spain,3.5,None,Venezuela
Cacao Sampaka,Venezuela,537,2010,77.0,Spain,3.5,None,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70.0,Spain,4.0,,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70.0,Spain,4.0,,Mexico
Cacao Store,Madagascar,1684,2015,70.0,Japan,3.0,,Madagascar
Cacao Store,Peru,1684,2015,70.0,Japan,3.25,None,Peru
Cacao Store,Vietnam,1684,2015,70.0,Japan,3.5,,Vietnam
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70.0,Peru,3.25,None,Peru
Cacaoyere (Ecuatoriana),Amazonia,237,2008,63.0,Ecuador,3.5,,Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71.0,Ecuador,3.5,,Ecuador
Cacaoyere (Ecuatoriana),Bolivar,245,2008,82.0,Ecuador,2.5,,Ecuador
Cacaoyere (Ecuatoriana),Pichincha,259,2008,91.0,Ecuador,1.5,,Ecuador
Callebaut,Grenade,296,2008,60.0,Belgium,2.75,,Grenada
Callebaut,Baking,141,2007,70.0,Belgium,1.0,None,Ecuador
C-Amaro,Cuba,1442,2014,75.0,Italy,2.5,None,Cuba
C-Amaro,Dominican Republic,1442,2014,72.0,Italy,3.0,None,Dominican Republic
C-Amaro,"Lago di Como, Blu",1442,2014,70.0,Italy,3.5,,Unknown
C-Amaro,Ecuador,1185,2013,100.0,Italy,3.5,None,Ecuador
